date,equity,cash,position_value,open_positions,exposure,turnover_cash,regime,daily_return
2022-06-16,1062185.5788268517,468308.7219286862,593876.8568981655,2,0.5591083787393184,38758546.32444327,bear,-0.022037069465013936
2022-06-17,1063691.2124902948,468308.7219286862,595382.4905616087,2,0.559732452022152,38758546.32444327,bear,0.0014174864481837357
2022-06-20,1029080.7787516608,468308.7219286862,560772.0568229747,2,0.5449252074295141,38758546.32444327,bear,-0.03253804612863598
2022-06-21,1029324.4378328775,468308.7219286862,561015.7159041914,2,0.5450329315850545,38758546.32444327,bear,0.00023677352278617114
2022-06-22,991833.0497508682,468308.7219286862,523524.327822182,2,0.5278351310774353,38758546.32444327,bear,-0.036423295419802715
2022-06-23,983584.3741394526,468308.7219286862,515275.65221076645,2,0.5238753946875031,38758546.32444327,bear,-0.008316596844083368
2022-06-24,981591.4223135759,468308.7219286862,513282.70038488973,2,0.5229087059207391,38758546.32444327,bear,-0.0020262133867472443
2022-06-27,1000408.7697826913,468308.7219286862,532100.047854005,2,0.5318826303067973,38758546.32444327,bear,0.019170244402465952
2022-06-28,993859.2108034375,468308.7219286862,525550.4888747513,2,0.5287977242268503,38758546.32444327,bear,-0.006546882811389598
2022-06-29,986201.4540476284,468308.7219286862,517892.7321189423,2,0.5251388851571606,38758546.32444327,bear,-0.007705071978573841
2022-06-30,968115.0838221635,468308.7219286862,499806.36189347727,2,0.5162675081150667,38758546.32444327,bear,-0.018339427660782448
2022-07-01,946713.865671565,468308.7219286862,478405.14374287886,2,0.5053323512944593,38758546.32444327,bear,-0.022106068284883484
2022-07-04,945502.0672018365,468308.7219286862,477193.34527315025,2,0.5046983627284696,38758546.32444327,bear,-0.0012800049874298614
2022-07-05,951704.3664067001,468308.7219286862,483395.644478014,2,0.5079262652783084,38758546.32444327,bear,0.006559794441506561
2022-07-06,946910.5971084614,468308.7219286862,478601.8751797752,2,0.5054351241197008,38758546.32444327,bear,-0.005037036150562502
2022-07-07,953243.209296836,468308.7219286862,484934.4873681498,2,0.508720631459692,38758546.32444327,bear,0.006687655843869766
2022-07-08,954351.4070733914,468308.7219286862,486042.6851447051,2,0.5092911075965203,38758546.32444327,bear,0.0011625551231282394
2022-07-11,955860.2892050119,468308.7219286862,487551.5672763258,2,0.5100657206732816,38758546.32444327,bear,0.0015810550709487448
2022-07-12,938204.5640931274,468308.7219286862,469895.84216444124,2,0.5008458284560198,38758546.32444327,bear,-0.018471031081925937
2022-07-13,946316.4297846772,468308.7219286862,478007.707855991,2,0.5051245997755273,38758546.32444327,bear,0.00864615884638198
2022-07-14,952679.002731567,468308.7219286862,484370.28080288076,2,0.5084296803163196,38758546.32444327,bear,0.006723515249901668
2022-07-15,946910.5971084614,468308.7219286862,478601.8751797752,2,0.5054351241197008,38758546.32444327,bear,-0.006054930996239216
2022-07-18,958661.1066773742,468308.7219286862,490352.384748688,2,0.5114971091799076,38758546.32444327,bear,0.01240931256318678
2022-07-19,960199.94956751,468308.7219286862,491891.2276388239,2,0.5122799973696935,38758546.32444327,bear,0.0016052000852202486
2022-07-20,956588.0179804845,468308.7219286862,488279.2960517984,2,0.5104384404507143,38758546.32444327,bear,-0.0037616452580031545
2022-07-21,964242.526268116,468308.7219286862,495933.80433942983,2,0.5143247583767439,38758546.32444327,bear,0.008001886019638249
2022-07-22,953710.3121052866,468308.7219286862,485401.5901766005,2,0.5089612474726116,38758546.32444327,bear,-0.01092278537391611
